review_id,product_id,user_id,rating,review_text,helpful_votes,verified_purchase,review_date
R0000001,P00007,U001039,3,"It's okay, expected a bit more.",172,True,2024-12-14
R0000002,P00414,U000925,1,"Terrible quality, stopped working in a week.",36,True,2022-03-18
R0000003,P00377,U000612,4,"High quality, just as expected.",192,True,2020-02-25
R0000004,P00193,U001280,3,"Works fine, instructions could be clearer.",47,True,2021-04-16
R0000005,P00129,U000846,4,"High quality, just as expected.",166,True,2020-02-03
R0000006,P00385,U000680,5,Absolutely love this product! Highly recommend.,36,True,2020-10-13
R0000007,P00148,U000025,2,Had issues with the product on arrival.,121,True,2019-06-26
R0000008,P00025,U000058,3,"Works fine, instructions could be clearer.",216,True,2019-12-14
R0000009,P00314,U000185,5,Perfect quality and fast shipping.,38,True,2020-12-10
R0000010,P00376,U001123,5,Perfect quality and fast shipping.,11,True,2019-04-15
R0000011,P00037,U000690,5,Best purchase I've made in years.,129,True,2020-11-17
R0000012,P00451,U000742,5,Absolutely love this product! Highly recommend.,21,True,2021-08-08
R0000013,P00126,U001676,5,Absolutely love this product! Highly recommend.,116,True,2019-09-28
R0000014,P00339,U000485,5,Perfect quality and fast shipping.,9,True,2023-09-11
R0000015,P00032,U001800,4,"Works great, delivery was slightly delayed.",225,False,2023-01-23
R0000016,P00373,U001282,3,"Works fine, instructions could be clearer.",124,True,2023-03-25
R0000017,P00396,U000264,5,Absolutely love this product! Highly recommend.,228,True,2021-05-09
R0000018,P00045,U000632,3,Neither great nor terrible. Fair price.,70,True,2021-01-19
R0000019,P00440,U000040,4,"Really good product, minor packaging issue.",20,False,2021-04-12
R0000020,P00144,U001922,4,"Good value for money, will recommend.",152,True,2024-03-18
R0000021,P00212,U000718,5,Absolutely love this product! Highly recommend.,158,True,2024-06-03
R0000022,P00433,U000715,5,Best purchase I've made in years.,176,True,2023-11-04
R0000023,P00312,U000896,5,Absolutely love this product! Highly recommend.,13,True,2020-10-29
R0000024,P00015,U000996,2,Had issues with the product on arrival.,161,True,2019-10-07
R0000025,P00236,U000274,5,Exceeded all my expectations. Would buy again.,226,True,2021-05-27
R0000026,P00066,U001914,2,Had issues with the product on arrival.,246,True,2024-06-09
R0000027,P00392,U000636,5,Exceeded all my expectations. Would buy again.,135,True,2024-01-09
R0000028,P00224,U001908,4,"High quality, just as expected.",159,False,2023-04-16
R0000029,P00437,U001965,4,"Works great, delivery was slightly delayed.",173,True,2023-07-16
R0000030,P00313,U000935,2,Customer service was unhelpful.,112,False,2023-06-20
R0000031,P00409,U001056,4,"Good value for money, will recommend.",108,True,2024-12-05
R0000032,P00033,U000909,4,"High quality, just as expected.",160,True,2022-07-14
R0000033,P00381,U001170,5,Best purchase I've made in years.,19,False,2021-12-21
R0000034,P00405,U001077,1,"Terrible quality, stopped working in a week.",54,True,2021-03-08
R0000035,P00386,U000011,5,Best purchase I've made in years.,26,True,2023-01-25
R0000036,P00475,U000858,5,Best purchase I've made in years.,94,True,2021-10-29
R0000037,P00164,U001206,4,"High quality, just as expected.",236,False,2025-01-19
R0000038,P00420,U000429,3,"Works fine, instructions could be clearer.",236,True,2024-11-30
R0000039,P00382,U000356,5,Perfect quality and fast shipping.,27,True,2020-07-31
R0000040,P00420,U001142,4,Very happy with the purchase overall.,218,True,2022-01-24
R0000041,P00144,U000685,2,Not what I expected. Quality is lacking.,118,True,2022-06-22
R0000042,P00204,U000314,1,"Terrible quality, stopped working in a week.",240,True,2021-05-13
R0000043,P00260,U001801,5,Best purchase I've made in years.,6,True,2022-03-24
R0000044,P00234,U000307,2,Would not buy this again.,81,True,2021-07-31
R0000045,P00228,U001650,4,Very happy with the purchase overall.,123,True,2023-05-20
R0000046,P00344,U001915,2,Had issues with the product on arrival.,131,True,2022-09-08
R0000047,P00394,U000007,2,Not what I expected. Quality is lacking.,8,True,2024-11-21
R0000048,P00110,U000889,5,Best purchase I've made in years.,7,True,2023-01-20
R0000049,P00146,U000567,4,"Works great, delivery was slightly delayed.",86,True,2022-04-22
R0000050,P00218,U000528,5,Exceeded all my expectations. Would buy again.,207,True,2021-01-25
R0000051,P00185,U000166,4,"High quality, just as expected.",32,True,2023-08-04
R0000052,P00178,U001234,2,Had issues with the product on arrival.,81,True,2021-11-30
R0000053,P00035,U001067,5,Exceeded all my expectations. Would buy again.,205,True,2021-02-04
R0000054,P00437,U000766,2,Disappointed with the build quality.,98,True,2020-06-27
R0000055,P00242,U001614,4,"High quality, just as expected.",227,True,2020-11-04
R0000056,P00334,U001800,5,"Fantastic product, exactly as described.",172,True,2021-03-09
R0000057,P00348,U000673,1,Returning immediately. Not as advertised.,164,True,2019-07-31
R0000058,P00246,U000640,4,Very happy with the purchase overall.,219,True,2023-05-13
R0000059,P00378,U001665,1,Complete waste of money. Arrived broken.,15,True,2020-05-18
R0000060,P00030,U001503,5,Absolutely love this product! Highly recommend.,151,True,2021-03-15
R0000061,P00157,U001153,4,Very happy with the purchase overall.,72,False,2020-07-16
R0000062,P00396,U000606,4,"Good value for money, will recommend.",176,False,2021-09-30
R0000063,P00057,U000617,5,Best purchase I've made in years.,161,True,2025-01-31
R0000064,P00237,U000563,4,"Really good product, minor packaging issue.",150,True,2022-02-09
R0000065,P00236,U000338,5,Best purchase I've made in years.,232,True,2021-04-02
R0000066,P00370,U000155,5,Best purchase I've made in years.,117,True,2019-09-15
R0000067,P00433,U000914,3,Decent product but nothing spectacular.,156,True,2020-06-05
R0000068,P00302,U001075,3,Decent product but nothing spectacular.,169,False,2021-03-02
R0000069,P00087,U000547,2,Not what I expected. Quality is lacking.,203,True,2022-10-22
R0000070,P00063,U000524,5,"Fantastic product, exactly as described.",170,True,2024-03-29
R0000071,P00042,U001727,3,"It's okay, expected a bit more.",159,False,2022-03-25
R0000072,P00047,U001483,3,Decent product but nothing spectacular.,35,True,2019-01-08
R0000073,P00180,U000734,4,"High quality, just as expected.",182,True,2024-05-30
R0000074,P00090,U000830,4,"Really good product, minor packaging issue.",122,False,2022-12-01
R0000075,P00342,U000294,5,Exceeded all my expectations. Would buy again.,224,True,2019-08-08
R0000076,P00085,U000191,4,Very happy with the purchase overall.,18,True,2022-11-14
R0000077,P00075,U001512,4,"Good value for money, will recommend.",106,False,2019-07-06
R0000078,P00206,U000307,5,Perfect quality and fast shipping.,6,True,2019-04-19
R0000079,P00480,U000905,5,Exceeded all my expectations. Would buy again.,172,False,2019-07-16
R0000080,P00308,U001768,4,Very happy with the purchase overall.,115,True,2023-09-12
R0000081,P00308,U000892,5,Perfect quality and fast shipping.,105,False,2021-02-15
R0000082,P00490,U001182,5,Absolutely love this product! Highly recommend.,215,True,2019-01-08
R0000083,P00011,U000061,4,"Really good product, minor packaging issue.",250,True,2024-09-22
R0000084,P00098,U000595,5,Exceeded all my expectations. Would buy again.,198,True,2019-05-03
R0000085,P00492,U000180,3,"Works fine, instructions could be clearer.",15,True,2021-11-10
