product_id,product_name,brand,category,base_item,cost_price,selling_price,discount_pct,discounted_price,stock_quantity,avg_rating,reviews_count,is_active
P00001,PrimeSelect Men's T-Shirt,PrimeSelect,Clothing,Men's T-Shirt,199.69,267.26,20,213.81,104,3.54,712,True
P00002,EcoBloom Winter Jacket,EcoBloom,Clothing,Winter Jacket,406.76,482.35,20,385.88,203,2.97,4464,True
P00003,TechNova Protein Shaker Bottle,TechNova,Sports & Outdoors,Protein Shaker Bottle,608.25,830.59,0,830.59,432,3.91,2757,True
P00004,NexGen Formal Shirt,NexGen,Clothing,Formal Shirt,484.96,1086.13,30,760.29,747,4.39,3763,True
P00005,SilverKey Board Game (Catan),SilverKey,Toys & Games,Board Game (Catan),238.08,475.84,0,475.84,906,4.61,569,True
P00006,EcoBloom Resistance Bands Set,EcoBloom,Sports & Outdoors,Resistance Bands Set,693.85,1153.99,0,1153.99,464,3.5,2988,True
P00007,PrimeSelect Sapiens,PrimeSelect,Books,Sapiens,562.95,1166.88,0,1166.88,73,3.82,2005,True
P00008,SilverKey Hiking Backpack,SilverKey,Sports & Outdoors,Hiking Backpack,179.59,285.15,5,270.89,786,3.87,458,True
P00009,PrimeSelect Lip Balm Set,PrimeSelect,Beauty & Personal Care,Lip Balm Set,57.62,137.29,20,109.83,580,4.47,4089,True
P00010,PrimeSelect Green Tea (100 bags),PrimeSelect,Grocery & Gourmet,Green Tea (100 bags),116.01,250.09,20,200.07,551,3.73,2152,True
P00011,EcoBloom Play-Doh Bundle,EcoBloom,Toys & Games,Play-Doh Bundle,797.87,1066.55,0,1066.55,505,4.26,898,True
P00012,PeakLine Stuffed Animal,PeakLine,Toys & Games,Stuffed Animal,310.89,607.62,10,546.86,479,4.2,4334,False
P00013,NovaBrands USB-C Hub,NovaBrands,Electronics,USB-C Hub,546.96,1025.5,20,820.4,273,4.16,2404,True
P00014,PrimeSelect External SSD,PrimeSelect,Electronics,External SSD,777.65,1694.23,10,1524.81,519,3.56,871,True
P00015,NexGen Atomic Habits,NexGen,Books,Atomic Habits,611.2,1147.93,15,975.74,797,5.0,4906,True
P00016,NexGen Socks (6-pack),NexGen,Clothing,Socks (6-pack),703.58,1599.06,0,1599.06,314,3.47,1961,True
P00017,LunaGoods Women's Dress,LunaGoods,Clothing,Women's Dress,653.74,1614.92,30,1130.44,545,4.13,3893,True
P00018,SilverKey Puzzle (1000 pieces),SilverKey,Toys & Games,Puzzle (1000 pieces),605.44,1260.12,20,1008.1,730,3.79,2553,False
P00019,TrueNorth Eyeshadow Palette,TrueNorth,Beauty & Personal Care,Eyeshadow Palette,363.93,540.32,5,513.3,65,3.68,1885,True
P00020,PeakLine Smartwatch,PeakLine,Electronics,Smartwatch,724.81,1674.68,5,1590.95,72,4.78,4211,True
P00021,SilverKey Dark Chocolate Box,SilverKey,Grocery & Gourmet,Dark Chocolate Box,110.19,265.88,20,212.7,584,3.7,3874,True
P00022,BoldStep Leather Belt,BoldStep,Clothing,Leather Belt,286.67,488.77,0,488.77,884,3.89,443,True
P00023,NovaBrands Body Lotion,NovaBrands,Beauty & Personal Care,Body Lotion,202.68,285.13,5,270.87,459,4.34,3789,True
P00024,SilverKey Hoodie,SilverKey,Clothing,Hoodie,82.84,168.2,0,168.2,553,4.39,120,False
P00025,BoldStep Atomic Habits,BoldStep,Books,Atomic Habits,391.08,562.59,20,450.07,410,4.39,17,True
P00026,BoldStep Protein Bars (12-pack),BoldStep,Grocery & Gourmet,Protein Bars (12-pack),558.79,1193.68,25,895.26,802,3.89,4552,True
P00027,UrbanEdge Cycling Helmet,UrbanEdge,Sports & Outdoors,Cycling Helmet,465.45,875.96,30,613.17,765,4.03,3905,False
P00028,TrueNorth Air Fryer,TrueNorth,Home & Kitchen,Air Fryer,68.69,96.23,5,91.42,609,4.28,556,True
P00029,IronVault Zero to One,IronVault,Books,Zero to One,36.59,46.13,5,43.82,673,3.47,2136,True
P00030,PrimeSelect Hair Dryer,PrimeSelect,Beauty & Personal Care,Hair Dryer,319.65,657.45,15,558.83,307,3.73,3745,False
P00031,PureCraft Men's T-Shirt,PureCraft,Clothing,Men's T-Shirt,498.82,952.77,0,952.77,102,4.47,2172,False
P00032,EcoBloom Socks (6-pack),EcoBloom,Clothing,Socks (6-pack),298.77,407.21,10,366.49,853,4.28,4450,True
P00033,SilverKey USB-C Hub,SilverKey,Electronics,USB-C Hub,243.01,497.1,30,347.97,961,4.44,876,True
P00034,SkyForge Pull-Up Bar,SkyForge,Sports & Outdoors,Pull-Up Bar,575.5,820.0,30,574.0,649,3.77,2162,True
P00035,BoldStep Smartphone,BoldStep,Electronics,Smartphone,664.33,803.52,0,803.52,341,4.21,2145,True
P00036,TechNova Educational Robot Kit,TechNova,Toys & Games,Educational Robot Kit,93.94,227.88,30,159.52,707,3.25,1221,True
P00037,SilverKey Nail Polish Set,SilverKey,Beauty & Personal Care,Nail Polish Set,122.73,162.26,15,137.92,315,3.18,326,True
P00038,NovaBrands Sapiens,NovaBrands,Books,Sapiens,286.17,545.4,0,545.4,895,5.0,3329,False
P00039,ZenCraft The Psychology of Money,ZenCraft,Books,The Psychology of Money,781.08,1753.17,20,1402.54,902,3.78,2721,True
P00040,ZenCraft The Pragmatic Programmer,ZenCraft,Books,The Pragmatic Programmer,630.96,817.68,25,613.26,893,4.3,317,True
P00041,BlueMark Mixed Nuts (500g),BlueMark,Grocery & Gourmet,Mixed Nuts (500g),657.33,1529.14,10,1376.23,228,4.49,2689,True
P00042,TrueNorth Water Bottle (32oz),TrueNorth,Sports & Outdoors,Water Bottle (32oz),322.74,798.64,0,798.64,549,4.16,2712,True
P00043,GoldenGate Adjustable Dumbbells,GoldenGate,Sports & Outdoors,Adjustable Dumbbells,770.21,1161.77,20,929.42,111,3.65,2569,True
P00044,GoldenGate Casual Shorts,GoldenGate,Clothing,Casual Shorts,156.11,188.88,30,132.22,446,3.78,13,False
P00045,BoldStep Clean Code,BoldStep,Books,Clean Code,60.63,124.09,10,111.68,338,3.47,1020,True
P00046,AuraStyle Play-Doh Bundle,AuraStyle,Toys & Games,Play-Doh Bundle,559.28,1061.77,20,849.42,196,3.48,3444,True
P00047,GoldenGate Vacuum Cleaner,GoldenGate,Home & Kitchen,Vacuum Cleaner,244.26,461.58,15,392.34,0,3.96,4751,True
P00048,SkyForge Coconut Oil (500ml),SkyForge,Grocery & Gourmet,Coconut Oil (500ml),411.38,913.9,0,913.9,982,4.49,1390,True
P00049,EcoBloom Moisturising Sunscreen SPF50,EcoBloom,Beauty & Personal Care,Moisturising Sunscreen SPF50,539.87,784.57,0,784.57,203,4.21,3892,True
P00050,AuraStyle The Almanack,AuraStyle,Books,The Almanack,398.03,588.84,0,588.84,671,4.25,45,True
P00051,TrueNorth Atomic Habits,TrueNorth,Books,Atomic Habits,374.32,712.14,30,498.5,939,4.48,3806,False
P00052,PureCraft Body Lotion,PureCraft,Beauty & Personal Care,Body Lotion,492.06,1043.67,30,730.57,516,3.56,3495,True
P00053,LunaGoods Toaster Oven,LunaGoods,Home & Kitchen,Toaster Oven,362.81,785.45,25,589.09,860,3.44,4270,True
P00054,PeakLine Trekking Poles,PeakLine,Sports & Outdoors,Trekking Poles,572.27,839.27,30,587.49,343,3.32,2619,True
