order_id,user_id,order_date,product_ids,num_items,order_total,payment_method,status,delivery_days
O0000001,U001049,2023-12-11 18:25:17,P00186×3|P00031×3|P00156×1,3,6992.16,Gift Card,Delivered,8
O0000002,U001977,2024-10-28 18:41:59,P00101×2,1,83.34,Gift Card,Delivered,12
O0000003,U000461,2021-07-28 05:11:11,P00177×2|P00005×4,2,2160.66,Apple Pay,Shipped,4
O0000004,U000266,2019-12-31 23:17:01,P00198×3|P00069×2|P00223×4,3,5744.17,Debit Card,Delivered,11
O0000005,U000282,2023-09-20 17:16:43,P00379×2|P00176×1|P00482×5|P00336×5,4,8889.34,PayPal,Shipped,11
O0000006,U001816,2024-11-05 04:34:41,P00274×5|P00377×4|P00253×2|P00486×2|P00305×3,5,8555.61,Bank Transfer,Shipped,14
O0000007,U001457,2023-11-09 16:54:51,P00308×2,1,1085.0,PayPal,Shipped,4
O0000008,U001147,2020-02-21 06:06:59,P00123×4,1,3217.4,PayPal,Shipped,3
O0000009,U001821,2022-02-06 23:48:13,P00030×2,1,1117.66,Debit Card,Delivered,5
O0000010,U001945,2019-04-18 21:59:26,P00418×1,1,169.64,Debit Card,Processing,
O0000011,U000162,2023-07-02 13:14:53,P00188×3|P00435×3|P00343×3,3,1238.34,Credit Card,Delivered,14
O0000012,U000957,2023-10-18 09:40:23,P00200×3|P00470×4|P00354×4,3,4668.97,Apple Pay,Shipped,10
O0000013,U001459,2024-05-29 03:18:11,P00409×3|P00138×2|P00370×4|P00396×3,4,6334.83,Debit Card,Delivered,10
O0000014,U000968,2024-01-22 12:06:41,P00139×1|P00202×4|P00198×2|P00477×3|P00373×2,5,8800.73,Apple Pay,Processing,
O0000015,U000162,2022-02-23 08:39:28,P00147×1,1,828.8,Bank Transfer,Delivered,10
O0000016,U000681,2021-08-09 19:04:27,P00480×3|P00317×2|P00470×4|P00482×5,4,8089.2,Gift Card,Delivered,3
O0000017,U000662,2022-05-18 16:02:59,P00191×2|P00295×1|P00196×2,3,3421.09,Apple Pay,Delivered,1
O0000018,U000929,2025-02-06 21:33:15,P00142×3|P00070×2|P00123×4|P00189×1,4,5710.63,Credit Card,Delivered,14
O0000019,U000586,2021-04-02 14:49:28,P00342×2,1,401.38,Google Pay,Shipped,4
O0000020,U001624,2021-07-24 03:59:40,P00482×2|P00213×1|P00419×4|P00060×5,4,8643.12,PayPal,Processing,
O0000021,U000846,2022-11-23 15:19:52,P00395×1,1,976.66,Bank Transfer,Delivered,1
O0000022,U001094,2023-03-21 00:45:35,P00375×3|P00063×2,2,4557.51,Gift Card,Cancelled,
